county2,ruc_code2,total_est_pct3
New Jersey,,10.8
Atlantic,2,14.1
Bergen,1,7.1
Burlington,1,7.7
Camden,1,13.1
Cape May,3,10.5
Cumberland,3,17.2
Essex,1,16.8
Gloucester,1,7.7
Hudson,1,17.7
Hunterdon,1,5
Mercer,2,11.2
Middlesex,1,8.5
Monmouth,1,7.5
Morris,1,5.3
Ocean,1,10.9
Passaic,1,17.3
Salem,1,11.9
Somerset,1,5.5
Sussex,1,5.6
Union,1,10.6
Warren,2,7.7
