county2,ruc_code2,total_est_pct3
Utah,,11.2
Beaver,7,11.2
Box Elder,2,8.4
Cache,3,16
Carbon,7,16.3
Daggett,9,8
Davis,2,6.9
Duchesne,7,11
Emery,7,10.4
Garfield,9,11.2
Grand,7,13
Iron,4,18.3
Juab,2,10.5
Kane,6,11.3
Millard,7,13.1
Morgan,2,4.8
Piute,9,17.3
Rich,8,9.1
Salt Lake,1,10.8
San Juan,7,28.5
Sanpete,6,17.2
Sevier,7,14
Summit,4,6.2
Tooele,1,7.2
Uintah,7,9.9
Utah,2,12.5
Wasatch,6,6.9
Washington,3,13.2
Wayne,9,15
Weber,2,12.4
